French,English
autoroutes,highways
Thinkpad,thinkpad
concentrer,concentrate
intime,intimate
reproducteur,reproductive
preston,preston
mortel,deadly
feof,feof
lapin,bunny
chèvre,chevy
molécules,molecules
Les manches,rounds
le plus long,longest
réfrigérateur,refrigerator
état,tions
intervalles,intervals
Phrases,sentences
dentistes,dentists
USDA,usda
exclusion,exclusion
poste de travail,workstation
holocauste,holocaust
enthousiaste,keen
prospectus,flyer
pois,peas
dosage,dosage
récepteurs,receivers
URL,urls
Personnaliser,customise
disposition,disposition
variance,variance
navigateur,navigator
les enquêteurs,investigators
Cameroun,cameroon
pâtisserie,baking
marijuana,marijuana
adaptatif,adaptive
calculé,computed
aiguille,needle
thermes,baths
enb,enb
gg,gg
cathédrale,cathedral
freins,brakes
og,og
nirvana,nirvana
ko,ko
Fairfield,fairfield
possède,owns
tiller,til
invention,invision
collant,sticky
destin,destiny
généreuse,generous
la démence,madness
emacs,emacs
monter,climb
souffle,blowing
fascinant,fascinating
paysages,landscapes
chauffé,heated
Lafayette,lafayette
jackie,jackie
OMC,wto
calcul,computation
foins,hay
cardiovasculaire,cardiovascular
ww,ww
sparc,sparc
cardiaque,cardiac
salut,salvation
Douvres,dover
adrian,adrian
prédictions,predictions
accompagnement,accompanying
Vatican,vatican
brutal,brutal
apprenants,learners
gd,gd
sélectif,selective
arbitrage,arbitration
configurer,configuring
jeton,token
éditoriaux,editorials
zinc,zinc
sacrifice,sacrifice
demandeurs,seekers
gourou,guru
est un,isa
amovible,removable
convergence,convergence
rendements,yields
Gibraltar,gibraltar
prélèvement,levy
convenable,suited
numérique,numeric
anthropologie,anthropology
patinage,skating
en quelque sorte,kinda
aberdien,aberdeen
empereur,emperor
diplômé,grad
faute professionnelle,malpractice
dylan,dylan
bras,bras
ceintures,belts
noirs,blacks
éduqué,educated
remises,rebates
journalistes,reporters
burke,burke
fièrement,proudly
pix,pix
nécessité,necessity
le rendu,rendering
micro,mic
inséré,inserted
tirant,pulling
petitame,basename
kyle,kyle
obésité,obesity
courbes,curves
de banlieue,suburban
tournée,touring
clara,clara
sommet,vertex
bw,bw
hépatite,hepatitis
nationalement,nationally
tomate,tomato
Andorre,andorra
étanche,waterproof
expiré,expired
mj,mj
voyages,travels
affleurer,flush
renoncer,waiver
pâle,pale
spécialités,specialties
hayes,hayes
humanitaire,humanitarian
invitations,invitations
fonctionnant,functioning
plaisir,delight
survivant,survivor
Garcia,garcia
cingulaire,cingular
économies,economies
Alexandrie,alexandria
bactérien,bacterial
Moïse,moses
dénombré,counted
entreprendre,undertake
déclarer,declare
continuellement,continuously
Johns,johns
vannes,valves
lacunes,gaps
malvoyant,impaired
réalisations,achievements
donateurs,donors
larme,tear
bijou,jewel
peluche,teddy
lf,lf
convertible,convertible
à,ata
enseigne,teaches
aventure,ventures
néant,nil
abondant,bufing
étranger,stranger
la tragédie,tragedy
julien,julian
nid,nest
pam,pam
séchoir,dryer
douloureux,painful
velours,velvet
tribunal,tribunal
jugé,ruled
OTAN,nato
pensions,pensions
prières,prayers
froussard,funky
secrétariat,secretariat
nulle part,nowhere
flic,cop
paragraphe,paragraphs
grand vent,gale
rejoint,joins
adolescent,adolescent
nomination,nominations
wesley,wesley
faible,dim
dernièrement,lately
annulé,cancelled
angoissant,scary
le matelas,mattress
MPEGS,mpegs
brunei,brunei
de même,likewise
banane,banana
introductif,introductory
slovaque,slovak
Gâteaux,cakes
stan,stan
réservoir,reservoir
occurrence,occurrence
idole,idol
mixer,mixer
rappeler,remind
toilettes,wc
worcester,worcester
SBJCT,sbjct
démographique,demographic
charmant,charming
Mai,mai
dent,tooth
disciplinaire,disciplinary
énervant,annoying
respecté,respected
séjour,stays
divulguer,disclose
affaire,affair
a conduit,drove
machine à laver,washer
bouleversé,upset
restreindre,restrict
springer,springer
à côté de,beside
mines,mines
portraits,portraits
rebond,rebound
logan,logan
mentor,mentor
interprété,interpreted
évaluations,evaluations
combattu,fought
Bagdad,baghdad
élimination,elimination
mètres,metres
hypothétique,hypothetical
les immigrants,immigrants
compliment,complimentary
hélicoptère,helicopter
crayon,pencil
Geler,freeze
hk,hk
interprète,performer
abu,abu
titré,titled
commissions,commissions
sphère,sphere
powererseller,powerseller
mousse,moss
ratios,ratios
concorde,concord
gradué,graduated
approuvé,endorsed
ty,ty
surprenant,surprising
noyer,walnut
lance,lance
échelle,ladder
Italie,italia
inutile,unnecessary
radicalement,dramatically
Libéria,liberia
Sherman,sherman
Liège,cork
maximiser,maximize
cj,cj
Hansen,hansen
sénateurs,senators
entraînement,workout
Mali,mali
Yougoslavie,yugoslavia
saignement,bleeding
caractérisation,characterization
côlon,colon
probabilité,likelihood
voies,lanes
Bourse,purse
fondamentaux,fundamentals
contamination,contamination
mtv,mtv
en voie de disparition,endangered
faire des compromis,compromise
optimiser,optimize
indiquant,stating
dôme,dome
caroline,caroline
leu,leu
expiration,expiration
espace de noms,namespace
aligner,align
périphérique,peripheral
bénir,bless
engageant,engaging
négociation,negotiation
crête,crest
adversaires,opponents
triomphe,triumph
nommé,nominated
confidentialité,confidentiality
électoral,electoral
changelog,changelog
soudage,welding
différé,deferred
alternativement,alternatively
talon,heel
alliage,alloy
condos,condos
parcelles,plots
brillant,polished
yang,yang
doucement,gently
greensboro,greensboro
tulsa,tulsa
verrouillage,locking
casse,casey
controversé,controversial
dessiner,draws
réfrigérateur,fridge
couverture,blanket
floraison,bloom
QC,qc
simpsons,simpsons
lou,lou
elliott,elliott
rétabli,recovered
frisson,fraser
justifier,justify
modernisation,upgrading
lames,blades
pgp,pgp
boucles,loops
monter,surge
page de garde,frontpage
traumatisme,trauma
aw,aw
tahoe,tahoe
publicité,advert
posséder,possess
exigeant,demanding
défensive,defensive
siroter,sip
clignotants,flashers
subaru,subaru
interdit,forbidden
tf,tf
vanille,vanilla
programmeurs,programmers
p j,pj
surveillé,monitored
installations,installations
Deutschland,deutschland
pique-nique,picnic
âmes,souls
Arrivées,arrivals
donner une fessée à,spank
cw,cw
praticien,practitioner
motivées,motivated
wr,wr
stupide,dumb
Smithsonian,smithsonian
creux,hollow
sauter,vault
en toute sécurité,securely
examiner,examining
fioricet,fioricet
rainure,groove
révélation,revelation
rg,rg
poursuite,pursuit
délégation,delegation
fils,wires
blé,bl
dictionnaires,dictionaries
mails,mails
support,backing
serre,greenhouse
dormir,sleeps
vc,vc
blake,blake
transparence,transparency
dee,dee
traviste,travis
wx,wx
sans fin,endless
figuré,figured
orbite,orbit
devises,currencies
Niger,niger
Bacon,bacon
survivants,survivors
positionnement,positioning
chauffe-eau,heater
colonie,colony
canon,cannon
cirque,circus
promu,promoted
fesses,forbes
mae,mae
Moldavie,moldova
mine,mel
descendant,descending
paxil,paxil
la colonne vertébrale,spine
truite,trout
enfermé,enclosed
exploit,feat
temporairement,temporarily
ntsc,ntsc
cuit,cooked
Thriller en francais,thriller
transmettre,transmit
apnn,apnic
gras,fatty
gerald,gerald
pressé,pressed
fréquences,frequencies
scanné,scanned
réflexions,reflections
faim,hunger
mariah,mariah
sic,sic
municipalité,municipality
usps,usps
joyce,joyce
détective,detective
chirurgien,surgeon
ciment,cement
expérimenter,experiencing
cheminée,fireplace
approbation,endorsement
bg,bg
planificateurs,planners
des disputes,disputes
textiles,textiles
missile,missile
intranet,intranet
se ferme,closes
seq,seq
psychiatrie,psychiatry
persistant,persistent
déborah,deborah
conditionnement,conf
Marco,marco
assistance,assists
résumés,summaries
lueur,glow
gabriel,gabriel
Auditeur,auditor
wma,wma
aquarium,aquarium
violon,violin
prophète,prophet
cir,cir
support,bracket
l'air intelligent,looksmart
Isaac,isaac
oxyde,oxide
chênes,oaks
magnifique,magnificent
Erik,erik
collègue,colleague
Naples,naples
rapidement,promptly
modems,modems
adaptation,adaptation
hu,hu
nocif,harmful
paintball,paintball
prozac,prozac
sexuellement,sexually
enceinte,enclosure
acm,acm
dividende,dividend
Newark,newark
kw,kw
paso,paso
glucose,glucose
fantôme,phantom
norme,norm
relecture,playback
superviseurs,supervisors
Westminster,westminster
tortue,turtle
IPS,ips
distances,distances
absorption,absorption
trésors,treasures
DSC,dsc
averti,warned
neural,neural
entrepôt,ware
fossile,fossil
mia,mia
ville natale,hometown
mal,badly
transcriptions,transcripts
Apollon,apollo
blême,wan
déçu,disappointed
persan,persian
continuellement,continually
communiste,communist
collectionner,collectible
Fait main,handmade
greene,greene
entrepreneurs,entrepreneurs
robots,robots
grenade,grenada
les créations,creations
jade,jade
scoop,scoop
acquisition,acquisitions
faute,foul
keno,keno
gtk,gtk
revenus,earning
mailman,mailman
sanyo,sanyo
imbriqué,nested
biodiversité,biodiversity
excitation,excitement
Somalie,somalia
déménageurs,movers
verbal,verbal
cligner,blink
présentement,presently
mers,seas
carlo,carlo
flux de travail,workflow
mystérieux,mysterious
nouveauté,novelty
bryant,bryant
carrelage,tiles
voyeur,voyuer
bibliothécaire,librarian
filiales,subsidiaries
commuté,switched
stockholm,stockholm
Tamil,tamil
garmin,garmin
ruelle,ru
pose,pose
flou,fuzzy
indonésien,indonesian
grammes,grams
thérapeute,therapist
Richards,richards
ARNA,mrna
budgets,budgets
boîte à outils,toolkit
prometteur,promising
relaxation,relaxation
chèvre,goat
rendre,render
carmen,carmen
Ira,ira
Sen,sen
après,thereafter
bois dur,hardwood
érotique,erotica
temporel,temporal
naviguer,sail
forger,forge
commissaires,commissioners
dense,dense
DTS,dts
courageux,brave
expéditeur,forwarding
qt,qt
affreux,awful
cauchemar,nightmare
avion,airplane
réductions,reductions
Southampton,southampton
istanbul,istanbul
imposer,impose
organismes,organisms
sega,sega
télescope,telescope
les spectateurs,viewers
amiante,asbestos
portsmouth,portsmouth
ADNc,cdna
méser,meyer
entre dans,enters
cosse,pod
sauvage,savage
avancement,advancement
wu,wu
harcèlement,harassment
saule,willow
reprendre,resumes
verrouiller,bolt
jauge,gage
lancement,throwing
existé,existed
générateurs,generators
lu,lu
wagon,wagon
barbie,barbie
dat,dat
favoriser,favour
SOA,soa
frappe,knock
exhorter,urge
smtp,smtp
génère,generates
pommes de terre,potatoes
complet,thorough
réplication,replication
peu coûteux,inexpensive
kurt,kurt
récepteurs,receptors
pairs,peers
roland,roland
optimum,optimum
néon,neon
interventions,interventions
courtepointe,quilt
Huntington,huntington
créature,creature
les notres,ours
monte,mounts
syracuse,syracuse
stage,internship
seul,lone
rafraîchir,refresh
aluminium,aluminium
snowboard,snowboard
bête,beastality
diffamation,webcast
michel,michel
évanescence,evanescence
subtil,subtle
coordonné,coordinated
nœud,notre
expédition,shipments
Maldives,maldives
rayures,stripes
firmware,firmware
Antarctique,antarctica
se débrouiller,cope
berger,shepherd
lm,lm
canberra,canberra
berceau,cradle
chancelier,chancellor
mambo,mambo
chaux,lime
église,kirk
farine,flour
controverse,controversy
légendaire,legendary
bool,bool
la sympathie,sympathy
chorale,choir
évitant,avoiding
magnifiquement,beautifully
blond,blond
s'attend à,expects
cho,cho
saut,jumping
tissus,fabrics
anticorps,antibodies
polymère,polymer
hygiène,hygiene
esprit,wit
la volaille,poultry
vertu,virtue
éclater,burst
examens,examinations
chirurgiens,surgeons
bouquet,bouquet
immunologie,immunology
promotion,promotes
mandat,mandate
de Wiley,wiley
départemental,departmental
bbs,bbs
les thermes,spas
Indiana,ind
corpus,corpus
johnston,johnston
terminologie,terminology
gentleman,gentleman
fibre,fibre
reproduire,reproduce
condamné,convicted
nuances,shades
jets,jets
indices,indices
colocailliers,roommates
logiciel publicitaire,adware
qui aime,qui
inl,intl
menaçant,threatening
porte-parole,spokesman
zoloft,zoloft
militants,activists
Francfort,frankfurt
prisonnier,prisoner
Marguerite,daisy
halifax,halifax
encourageant,encourages
ultramen,ultram
le curseur,cursor
assemblé,assembled
le plus tôt,earliest
don,donated
farci,stuffed
restructuration,restructuring
insectes,insects
terminaux,terminals
brut,crude
morrison,morrison
jeune fille,maiden
simulations,simulations
CZ,cz
suffisamment,sufficiently
examine,examines
viking,viking
myrte,myrtle
ennuyé,bored
nettoyer,cleanup
fil,yarn
tricoter,knit
conditionnel,conditional
agresser,mug
mots croisés,crossword
embêter,bother
budapest,budapest
conceptuel,conceptual
tricot,knitting
attaqué,attacked
hl,hl
bhoutan,bhutan
Liechtenstein,liechtenstein
accouplement,mating
calculer,compute
roux,redhead
arrive,arrives
traducteur,translator
automobiles,automobiles
tracteur,tractor
Allah,allah
continent,continent
observer,ob
déballer,unwrap
tarifs,fares
longitude,longitude
résister,resist
contesté,challenged
téléchamp,telecharger
espéré,hoped
brochet,pike
plus sûr,safer
insertion,insertion
instrumentation,instrumentation
identité,ids
hugo,hugo
wagon,wagner
contrainte,constraint
eaux souterraines,groundwater
touché,touched
renforcement,strengthening
eau de Cologne,cologne
gzip,gzip
qui souhaite,wishing
ranger,ranger
plus petit,smallest
isolation,insulation
homme nouveau,newman
le marais,marsh
ricky,ricky
ctrl,ctrl
effrayé,scared
thêta,theta
infraction,infringement
courbé,bent
Laos,laos
subjectif,subjective
monstres,monsters
asile,asylum
boite à lumière,lightbox
robuste,robbie
pieu,stake
cocktail,cocktail
prises électriques,outlets
swaziland,swaziland
variétés,varieties
tonnelle,arbor
mediawiki,mediawiki
configurations,configurations
poison,poison
